图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,丝瓜-预测置信度,人参果-预测置信度,佛手瓜-预测置信度,冬瓜-预测置信度,南瓜-预测置信度,哈密瓜-预测置信度,木瓜-预测置信度,甜瓜-伊丽莎白-预测置信度,甜瓜-白-预测置信度,甜瓜-绿-预测置信度,甜瓜-金-预测置信度,白兰瓜-预测置信度,羊角蜜-预测置信度,苦瓜-预测置信度,西瓜-预测置信度,西葫芦-预测置信度,黄瓜-预测置信度
melon17_split/val/丝瓜/109.jpg,0,丝瓜,0.0,丝瓜,2.0,佛手瓜,3.0,冬瓜,1.0,0.6025479,0.0051945965,0.18266502,0.091986805,0.0012828163,0.004377118,7.787218e-05,0.0009523736,0.030350773,0.002757894,0.0011861285,0.0069286656,0.067796834,0.00073874864,0.00035390825,0.00038738217,0.00041518346
melon17_split/val/丝瓜/111.jpg,0,丝瓜,0.0,丝瓜,13.0,苦瓜,12.0,羊角蜜,1.0,0.45952642,0.00083556655,0.0043829586,0.020238511,7.353554e-05,0.00025622686,0.0011485377,5.072762e-06,3.538376e-05,3.8564405e-05,1.7009173e-05,1.929875e-05,0.053255055,0.39012507,1.580059e-05,0.022745842,0.04728109
melon17_split/val/丝瓜/113.jpg,0,丝瓜,0.0,丝瓜,3.0,冬瓜,5.0,哈密瓜,1.0,0.7159912,0.00085558224,0.003953781,0.06547633,0.00077676866,0.051021997,0.0054651797,0.0038605933,0.02665418,0.00048441,0.001215179,0.018728737,0.044135172,0.0038077678,0.0024780761,0.02845215,0.026642872
melon17_split/val/丝瓜/115.jpg,0,丝瓜,3.0,冬瓜,0.0,丝瓜,15.0,西葫芦,1.0,0.15648821,8.364851e-05,0.001339487,0.7521696,4.270873e-05,0.00017201396,0.0003472992,4.3033728e-05,0.00044631434,0.001275594,1.0221728e-05,0.0009085963,0.0018855697,0.01761911,0.000474287,0.048291694,0.018402666
melon17_split/val/丝瓜/120.jpg,0,丝瓜,0.0,丝瓜,15.0,西葫芦,13.0,苦瓜,1.0,0.7972671,5.001999e-05,0.00033321528,0.01227904,0.006701411,0.005161782,0.0025362321,8.444517e-05,9.845294e-06,2.3616867e-05,0.00034483196,5.4924898e-05,0.0048265187,0.05549101,9.747511e-05,0.08496752,0.029771086
melon17_split/val/丝瓜/135.jpg,0,丝瓜,0.0,丝瓜,16.0,黄瓜,13.0,苦瓜,1.0,0.72760063,8.853783e-06,0.0008927787,0.00013884506,7.0658665e-05,0.00033497502,2.48656e-05,1.7861244e-06,2.8134069e-05,1.0298796e-05,3.4528834e-06,4.1507155e-05,0.014739351,0.040048283,2.1515164e-06,0.0049362993,0.21111718
melon17_split/val/丝瓜/141.jpg,0,丝瓜,0.0,丝瓜,13.0,苦瓜,16.0,黄瓜,1.0,0.94818467,0.00013460082,0.008280679,0.0011735162,0.0005660722,7.001984e-05,7.246781e-05,5.251012e-06,0.00012981496,6.194416e-05,2.1643898e-05,2.0738173e-05,0.00015922973,0.028771954,8.324059e-05,0.001564856,0.010699314
melon17_split/val/丝瓜/143.jpg,0,丝瓜,0.0,丝瓜,15.0,西葫芦,12.0,羊角蜜,1.0,0.72820115,4.388608e-06,0.0012203549,0.0015822023,6.1431915e-06,0.00014071318,0.0014104509,2.9552548e-05,7.571804e-05,0.00014720367,0.0003802036,0.0004947183,0.08026324,0.06230966,0.00021185365,0.09841969,0.025102679
melon17_split/val/丝瓜/150.jpg,0,丝瓜,0.0,丝瓜,16.0,黄瓜,12.0,羊角蜜,1.0,0.72094214,0.0008470008,0.025324197,0.018576974,0.00050089374,0.0050839973,0.0002659174,8.641347e-06,5.441313e-05,0.0016616636,7.141961e-05,0.00013544905,0.07035608,0.0029324722,0.0014451371,0.006003183,0.14579047
melon17_split/val/丝瓜/160.jpg,0,丝瓜,0.0,丝瓜,13.0,苦瓜,16.0,黄瓜,1.0,0.9676945,5.828727e-05,0.0011995999,0.000735787,0.00035862022,8.3138286e-05,0.0001598361,2.55935e-06,5.8354515e-05,5.2770418e-05,1.545181e-05,0.00020753327,0.005105338,0.014543386,0.00015959272,0.0020968225,0.007468352
