图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,哈密瓜-预测置信度,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
fruit30_split/val/哈密瓜/106.jpg,0,哈密瓜,4.0,柚子,5.0,柠檬,7.0,梨,0.0,0.0021773854,4.5620004e-06,3.494981e-07,1.1510411e-06,0.9834409,0.006749138,2.6648768e-06,0.004619951,0.00015892218,4.3123664e-06,1.3226796e-07,0.0014308093,0.00016253241,4.1482755e-05,3.1512266e-06,0.00052533596,0.0002321695,9.003863e-08,1.4413141e-05,0.00016453097,1.8101746e-07,1.2204301e-06,3.0817034e-06,9.9496065e-06,5.6826793e-06,0.00011113256,0.00012942357,3.994173e-07,4.3882874e-06,5.8307955e-07
fruit30_split/val/哈密瓜/109.jpg,0,哈密瓜,6.0,桂圆,0.0,哈密瓜,8.0,椰子,1.0,0.3593502,2.473891e-07,6.390156e-06,1.7908319e-06,0.0084098065,0.00035189046,0.5543144,0.0022999048,0.07133132,1.2599068e-06,7.21214e-08,0.00029462064,2.3566423e-05,0.00013193476,3.140972e-05,4.436767e-06,0.001459269,6.178438e-08,0.00024154616,2.1673654e-06,8.4601425e-08,1.4647853e-06,1.0809676e-06,0.0014814788,4.5216493e-05,0.00017460674,7.725556e-07,3.1716188e-06,3.3343702e-05,2.5591053e-06
fruit30_split/val/哈密瓜/114.jpg,0,哈密瓜,0.0,哈密瓜,26.0,西红柿,23.0,葡萄-白,1.0,0.5173351,0.0063806796,0.006869943,0.013097568,0.014732334,0.002422573,0.0071774432,0.00474024,0.011875106,0.00032669265,0.000112386246,0.0024541132,0.00012441045,0.00034684996,0.0010970925,0.0027485655,0.013347045,0.00051123963,0.0021191477,0.012966661,0.009829248,0.0076868637,0.0011496291,0.04022951,0.035186533,0.0015504733,0.27610925,0.00016955177,0.0060843485,0.0012194655
fruit30_split/val/哈密瓜/116.jpg,0,哈密瓜,0.0,哈密瓜,16.0,芒果,4.0,柚子,1.0,0.7236518,6.884952e-05,1.7966098e-06,1.956442e-06,0.06327789,0.00016587507,6.4952226e-05,0.0019571353,0.00037787945,0.053068098,6.8702698e-06,0.020019319,3.1383556e-06,9.927497e-06,0.002199169,0.0001513847,0.10663441,0.002627308,2.089871e-05,7.757359e-05,4.4178436e-05,0.00024698902,7.062981e-05,0.0014550196,2.550516e-06,0.0004602581,0.00083583395,2.1689974e-07,0.022085803,0.00041234458
fruit30_split/val/哈密瓜/118.png,0,哈密瓜,4.0,柚子,11.0,猕猴桃,23.0,葡萄-白,0.0,0.0054146717,0.00013871821,4.1262163e-05,2.8590679e-05,0.49702471,0.03187486,0.0011828168,0.007895631,0.0044431966,0.0001331621,3.2361604e-05,0.33150938,0.0013119775,0.0011067278,0.0039904257,0.007192716,0.0046123858,0.0005240715,9.98574e-06,0.0031562485,0.0007725807,7.507991e-05,8.939808e-05,0.09169763,0.00065894565,0.00046256272,0.0037965607,3.0871806e-08,0.00030570058,0.0005176165
fruit30_split/val/哈密瓜/123.jpg,0,哈密瓜,0.0,哈密瓜,11.0,猕猴桃,16.0,芒果,1.0,0.99954826,1.5949436e-07,3.312655e-08,1.567101e-06,8.0914535e-05,1.2349146e-07,3.374965e-06,3.2876694e-06,1.6522652e-07,5.463698e-08,6.2516686e-10,0.00025280454,1.4537069e-08,1.3913706e-07,3.1963688e-07,1.05675305e-07,8.962012e-05,3.6687126e-08,2.585464e-07,1.92053e-08,5.7759358e-08,5.9364915e-08,1.2481452e-08,1.8640923e-06,1.2803669e-06,1.499792e-05,3.2185332e-07,2.2487932e-09,1.15843996e-07,5.964957e-08
fruit30_split/val/哈密瓜/127.jpg,0,哈密瓜,0.0,哈密瓜,4.0,柚子,11.0,猕猴桃,1.0,0.90113074,0.00011699348,9.774085e-06,0.00042868208,0.048098933,0.00052584166,0.0052276114,0.007923657,0.0063433065,0.00011027341,6.318295e-06,0.015144169,8.8147826e-05,0.006109048,2.001553e-05,0.00083008205,0.0021530897,1.1154247e-05,0.00019428683,4.7911202e-05,7.493161e-05,0.0036260954,0.00018538377,3.7468517e-06,5.064458e-05,0.00032232006,0.00097491127,0.00023403841,6.826789e-06,9.934467e-07
fruit30_split/val/哈密瓜/129.jpg,0,哈密瓜,0.0,哈密瓜,8.0,椰子,5.0,柠檬,1.0,0.9912751,5.23982e-08,2.3615592e-05,8.397943e-06,0.00030730432,0.0029380412,0.00012312662,1.0207643e-06,0.0040771007,1.7115015e-07,7.389397e-09,7.649354e-06,1.4978405e-09,9.6537726e-05,5.0174588e-08,6.9322455e-06,0.00018365576,9.673101e-08,8.157143e-06,6.002635e-07,9.4716023e-07,2.6345658e-08,2.7033353e-05,0.00011661942,7.396804e-08,0.000298198,1.1757924e-08,3.98495e-09,4.155773e-06,0.00049533794
fruit30_split/val/哈密瓜/131.jpg,0,哈密瓜,16.0,芒果,0.0,哈密瓜,7.0,梨,1.0,0.36434892,2.1475859e-07,1.1354039e-07,8.957453e-07,0.0037099738,0.0016780794,9.85319e-05,0.009577397,0.00018626095,0.00027043777,2.4449753e-06,2.9202125e-05,2.1025879e-07,3.08952e-05,0.0004624944,0.00061973464,0.618179,3.0504228e-07,0.00017048862,5.6032586e-06,4.0215928e-05,4.476126e-06,2.1606475e-05,6.39241e-05,6.706026e-07,0.00036953075,3.6149834e-06,6.211988e-09,3.835938e-05,8.63282e-05
fruit30_split/val/哈密瓜/133.jpg,0,哈密瓜,0.0,哈密瓜,8.0,椰子,4.0,柚子,1.0,0.94607323,1.2435462e-09,1.3769549e-06,5.2176436e-08,0.015494409,0.00048629596,0.0021903487,0.002415522,0.032587532,5.405607e-08,2.685796e-09,0.00025840418,1.4563355e-07,6.2586565e-05,3.0398666e-09,3.8715985e-05,0.0003591072,1.8295749e-08,2.3648648e-05,4.8960233e-06,5.177629e-09,2.6648327e-06,1.6429007e-08,8.428848e-08,1.1191388e-07,2.7353803e-07,1.4870885e-07,1.07596904e-10,1.1941425e-07,1.9691838e-07
fruit30_split/val/哈密瓜/136.jpg,0,哈密瓜,0.0,哈密瓜,9.0,榴莲,29.0,黄瓜,1.0,0.8355046,8.718653e-06,4.5961865e-06,6.245936e-05,0.01984758,0.00022033445,1.7968046e-05,0.0033502015,0.0002675007,0.04384992,0.00012701743,6.3367e-05,0.0004366152,0.0006042714,0.029737886,0.0033329674,0.016176559,0.0027743492,2.8387381e-05,0.00010791978,5.022298e-05,1.01829155e-05,0.0039230366,1.068953e-05,4.1478124e-06,0.0014968291,0.0008214416,2.434199e-07,0.0071871295,0.02997298
fruit30_split/val/哈密瓜/137.jpg,0,哈密瓜,5.0,柠檬,16.0,芒果,15.0,脐橙,0.0,0.03119168,0.00012748923,2.2831575e-06,0.0009253141,0.009017995,0.7088168,0.00013292584,0.0003596676,0.00053969753,0.0002550919,0.00016169691,0.0021210304,2.3698432e-05,9.288706e-05,0.003729884,0.05204608,0.17181914,4.4349847e-05,2.0609516e-05,0.0005369729,0.0002754773,1.5055683e-05,0.0010311989,5.9480033e-05,6.8363206e-06,0.0012044915,0.0051275245,2.4181668e-06,0.009788679,0.0005236483
fruit30_split/val/哈密瓜/14.jpg,0,哈密瓜,0.0,哈密瓜,4.0,柚子,16.0,芒果,1.0,0.9999559,3.0118047e-10,1.5003726e-08,1.885659e-07,2.355784e-05,1.2661678e-06,5.115493e-07,9.082464e-07,1.2489198e-06,3.0997394e-09,6.8741874e-09,1.7672122e-06,2.0640998e-09,4.6425245e-07,8.6490554e-10,9.890799e-07,6.6373204e-06,8.306732e-09,7.7809075e-09,1.4628462e-08,2.1422948e-06,3.804262e-08,9.3491046e-08,8.214969e-09,8.525381e-10,4.0934265e-06,9.088512e-09,2.9710973e-12,1.7714885e-09,1.5109937e-07
fruit30_split/val/哈密瓜/144.jpg,0,哈密瓜,0.0,哈密瓜,28.0,香蕉,8.0,椰子,1.0,0.60740036,0.00052230986,2.5402518e-05,0.00011017632,0.022795213,0.002945502,0.00049340836,0.002790618,0.08289481,0.01610908,0.00010006825,0.0035154673,0.00023924423,0.0012246748,0.04646883,0.022024604,0.03786607,4.033256e-05,2.7762177e-05,6.50124e-05,0.00023968043,7.202945e-05,0.0003245862,0.00024554733,5.9934227e-05,0.004396443,0.04139429,5.1086245e-06,0.10488662,0.00071683904
fruit30_split/val/哈密瓜/145.jpg,0,哈密瓜,0.0,哈密瓜,4.0,柚子,7.0,梨,1.0,0.9575445,3.0873747e-05,8.184075e-06,0.0032290432,0.010503403,0.0047452794,0.0002294083,0.0058853184,0.00053744816,0.0003513929,8.937203e-05,0.0054812203,0.0027696332,0.0005027469,5.392514e-05,0.0009525323,0.0026416292,0.00021393607,1.5578502e-05,0.00014923429,0.00046953475,0.00029439785,0.0006963169,3.2988275e-05,0.000747401,0.00035317315,0.00012068221,9.578649e-07,0.00016097524,0.0011888376
fruit30_split/val/哈密瓜/152.jpg,0,哈密瓜,0.0,哈密瓜,16.0,芒果,11.0,猕猴桃,1.0,0.99966896,1.293784e-07,6.4365575e-09,2.1183947e-08,3.2163753e-05,1.8243219e-06,2.2286042e-07,1.9946308e-06,7.874961e-09,4.4993374e-07,1.9729024e-10,8.9138906e-05,3.0120106e-09,4.3429037e-07,2.4965455e-08,2.1524072e-06,0.00019692242,2.9431524e-09,6.519949e-09,2.1082762e-09,6.64314e-10,2.0640036e-09,4.324918e-06,1.867147e-07,3.8349346e-09,7.033722e-09,5.763503e-08,1.248059e-10,1.1023857e-06,1.9946105e-09
fruit30_split/val/哈密瓜/163.jpg,0,哈密瓜,0.0,哈密瓜,22.0,菠萝,16.0,芒果,1.0,0.76058704,1.3089848e-07,1.4254329e-06,1.958822e-07,0.014902361,0.003984121,0.0003773653,0.051120408,0.00019889663,0.0007819691,6.8747813e-06,2.7740386e-06,4.1820076e-06,4.884022e-05,0.0010064212,0.011923071,0.055736158,3.650883e-06,5.17734e-06,1.1339225e-05,4.9063015e-06,7.06929e-07,0.09645112,0.00021591898,4.72274e-07,0.0017460298,1.857257e-05,7.272116e-10,0.00074182596,0.00011797391
fruit30_split/val/哈密瓜/164.jpg,0,哈密瓜,0.0,哈密瓜,4.0,柚子,16.0,芒果,1.0,0.9999684,3.2689391e-09,1.9357399e-10,2.5001292e-08,1.6104797e-05,1.9698805e-07,4.2275975e-08,5.3928187e-07,4.6174935e-09,7.421391e-08,8.2978696e-10,1.8258162e-07,1.8106133e-10,3.5674316e-07,1.2602703e-07,4.2597617e-07,1.3022637e-05,3.6986723e-09,3.0986196e-09,5.811704e-10,1.0254522e-08,1.9943251e-09,1.05671285e-08,3.8859002e-10,9.2088975e-11,1.0361634e-08,1.3986414e-08,2.329401e-10,4.881983e-07,2.1038506e-08
fruit30_split/val/哈密瓜/173.jpg,0,哈密瓜,0.0,哈密瓜,16.0,芒果,25.0,西瓜,1.0,0.99771845,1.299781e-05,5.947163e-07,6.859307e-06,8.731807e-05,5.573387e-06,1.4995334e-06,3.9691427e-06,9.056557e-06,6.29064e-07,1.0599183e-08,0.00016946738,2.1452266e-08,1.0001256e-06,2.8936145e-06,5.23019e-07,0.00092378334,8.775413e-06,1.7822808e-06,2.3275738e-06,7.7912665e-07,2.7298283e-08,5.5466916e-07,9.874077e-06,3.2731366e-06,0.0008514561,6.2451276e-05,7.0559673e-07,4.245903e-07,0.00011296964
